latitude,longitude,altitude,geometry,osm_id,name,capacity,amenity,iscedlevel
18.1936913,-73.7471333,,Point,619570380,Externat Saint Joseph,,school,
18.2110226,-73.754486,,Point,619621255,Pradel Pampilus,,school,
18.5331238,-72.3968675,,Point,620158270,La Joie des Petits Kindergarten Primaire,,school,
19.4630973,-72.6761892,,Point,621904164,Ecole Solferino,,school,
19.4490877,-72.6860028,,Point,621911834,Ecole D'Arts,,school,
18.480426,-72.632266,,Point,627949171,,,school,
18.528117,-72.57535,,Point,627949172,,,school,
18.522591,-72.592289,,Point,627949173,,,school,
18.530865,-72.37994,,Point,627949174,,,school,
18.5358598,-72.3981937,,Point,627949176,College Catherine Flon,,school,
18.532865,-72.38713300000002,,Point,627949182,,,school,
18.528112,-72.38202500000001,,Point,627949184,,,school,
18.532254,-72.402042,,Point,627949185,College Mixte Frère Jean Pierre Primaire /Secondaire,,school,
